COURSE,F18_LEARNING,E18_LEARNING,F19_LEARNING,E19_LEARNING,F20_LEARNING,E20_LEARNING,F21_LEARNING,E21_LEARNING,F22_LEARNING,F18_MOTIVATION,E18_MOTIVATION,F19_MOTIVATION,E19_MOTIVATION,F20_MOTIVATION,E20_MOTIVATION,F21_MOTIVATION,E21_MOTIVATION,F22_MOTIVATION,F18_FEEDBACK,E18_FEEDBACK,F19_FEEDBACK,E19_FEEDBACK,F20_FEEDBACK,E20_FEEDBACK,F21_FEEDBACK,E21_FEEDBACK,F22_FEEDBACK,F18_WORKLOAD,E18_WORKLOAD,F19_WORKLOAD,E19_WORKLOAD,F20_WORKLOAD,E20_WORKLOAD,F21_WORKLOAD,E21_WORKLOAD,F22_WORKLOAD
01415,,"[1, 3, 7, 5, 0]",,"[0, 0, 0, 1, 7]",,"[0, 0, 0, 1, 6]",,"[1, 0, 0, 3, 4]",,,"[3, 3, 4, 6, 0]",,"[0, 0, 1, 2, 5]",,"[0, 0, 0, 4, 3]",,"[0, 0, 0, 3, 4]",,,"[0, 5, 6, 4, 1]",,"[0, 0, 4, 2, 2]",,"[0, 0, 0, 2, 5]",,"[0, 0, 1, 2, 4]",,,"[4, 7, 5, 0, 0]",,"[0, 0, 7, 1, 0]",,"[0, 0, 4, 2, 1]",,"[0, 1, 6, 0, 0]",
01418,,"[1, 1, 3, 12, 17]",,"[0, 2, 3, 19, 28]",,"[0, 2, 6, 14, 33]",,"[0, 0, 5, 19, 38]",,,"[3, 6, 8, 8, 8]",,"[2, 3, 10, 19, 18]",,"[1, 4, 11, 15, 24]",,"[0, 4, 13, 30, 15]",,,"[1, 1, 7, 15, 8]",,"[0, 3, 4, 22, 22]",,"[0, 0, 9, 14, 32]",,"[0, 3, 9, 18, 32]",,,"[2, 4, 19, 7, 1]",,"[0, 3, 32, 11, 6]",,"[1, 2, 25, 22, 5]",,"[1, 3, 26, 21, 11]",
01426,,,,"[0, 0, 0, 0, 6]",,"[0, 0, 0, 2, 2]",,"[0, 2, 1, 4, 4]",,,,,"[0, 0, 0, 1, 5]",,"[0, 0, 1, 1, 2]",,"[1, 1, 3, 4, 2]",,,,,"[0, 0, 1, 2, 3]",,"[0, 0, 1, 1, 2]",,"[2, 6, 1, 1, 1]",,,,,"[1, 2, 3, 0, 0]",,"[1, 0, 3, 0, 0]",,"[1, 3, 4, 3, 0]",
01527,,"[0, 0, 0, 0, 7]",,"[0, 0, 1, 1, 4]",,"[0, 0, 0, 0, 4]",,"[0, 0, 0, 0, 2]",,,"[0, 0, 0, 1, 6]",,"[0, 0, 0, 3, 3]",,"[0, 0, 0, 0, 4]",,"[0, 0, 0, 1, 1]",,,"[0, 0, 0, 2, 5]",,"[0, 0, 1, 1, 4]",,"[0, 0, 0, 1, 3]",,"[0, 0, 0, 0, 2]",,,"[0, 2, 3, 2, 0]",,"[0, 0, 4, 2, 0]",,"[0, 1, 3, 0, 0]",,"[0, 0, 1, 1, 0]",
01617,,"[0, 2, 2, 3, 9]",,"[1, 1, 6, 11, 18]",,"[0, 1, 5, 13, 13]",,"[0, 2, 9, 16, 20]",,,"[2, 1, 7, 5, 1]",,"[2, 3, 9, 8, 15]",,"[0, 1, 3, 15, 13]",,"[2, 8, 12, 10, 14]",,,"[1, 3, 3, 7, 2]",,"[0, 1, 3, 21, 12]",,"[0, 0, 5, 14, 13]",,"[0, 5, 10, 21, 10]",,,"[0, 3, 8, 4, 1]",,"[1, 5, 17, 12, 2]",,"[1, 2, 20, 9, 0]",,"[0, 8, 26, 11, 1]",
01621,,,,,"[0, 0, 0, 2, 2]",,"[0, 0, 0, 3, 2]",,"[0, 0, 0, 0, 2]",,,,,"[0, 0, 1, 0, 3]",,"[0, 0, 2, 1, 2]",,"[0, 0, 1, 1, 0]",,,,,"[0, 0, 0, 0, 4]",,"[0, 0, 0, 2, 3]",,"[0, 0, 0, 0, 2]",,,,,"[0, 0, 2, 1, 1]",,"[0, 0, 3, 2, 0]",,"[0, 0, 0, 2, 0]"
01622,,,,,"[0, 0, 4, 1, 8]",,"[0, 2, 2, 1, 1]",,"[0, 0, 2, 5, 2]",,,,,"[0, 0, 3, 4, 6]",,"[1, 1, 1, 2, 1]",,"[0, 3, 1, 4, 1]",,,,,"[1, 6, 3, 3, 0]",,"[0, 0, 3, 2, 1]",,"[0, 2, 2, 4, 1]",,,,,"[0, 2, 8, 2, 1]",,"[1, 1, 3, 1, 0]",,"[0, 2, 5, 2, 0]"
01666,"[0, 0, 0, 1, 7]",,"[0, 0, 1, 2, 8]",,"[0, 0, 3, 1, 11]",,"[0, 0, 2, 3, 12]",,"[0, 0, 0, 3, 3]","[0, 0, 3, 2, 3]",,"[1, 0, 3, 4, 2]",,"[0, 0, 4, 4, 7]",,"[0, 1, 3, 4, 8]",,"[0, 1, 2, 2, 1]","[0, 2, 1, 2, 3]",,"[0, 2, 2, 1, 5]",,"[0, 0, 6, 3, 6]",,"[1, 0, 1, 3, 11]",,"[1, 2, 0, 1, 2]","[0, 2, 5, 1, 0]",,"[0, 2, 7, 2, 0]",,"[0, 0, 10, 5, 0]",,"[0, 0, 8, 8, 0]",,"[0, 1, 4, 1, 0]"
01715,,"[0, 0, 0, 3, 2]",,"[0, 0, 1, 1, 11]",,"[1, 0, 0, 0, 8]",,"[0, 0, 0, 1, 8]",,,"[0, 0, 0, 2, 3]",,"[0, 0, 0, 2, 11]",,"[0, 1, 0, 0, 8]",,"[0, 0, 0, 0, 9]",,,"[0, 0, 0, 0, 5]",,"[0, 0, 0, 2, 11]",,"[0, 0, 0, 0, 9]",,"[0, 0, 0, 0, 9]",,,"[0, 1, 4, 0, 0]",,"[1, 1, 8, 3, 0]",,"[0, 1, 6, 2, 0]",,"[1, 2, 6, 0, 0]",
01716,"[0, 0, 0, 0, 2]",,"[0, 0, 0, 0, 0]",,,,"[0, 0, 0, 1, 4]",,"[0, 0, 0, 0, 5]","[0, 0, 0, 1, 1]",,"[0, 0, 0, 0, 0]",,,,"[0, 0, 0, 0, 5]",,"[0, 0, 0, 2, 3]","[0, 0, 0, 0, 2]",,"[0, 0, 0, 0, 0]",,,,"[0, 0, 0, 1, 4]",,"[0, 0, 1, 2, 2]","[0, 0, 0, 2, 0]",,"[0, 0, 0, 0, 0]",,,,"[0, 1, 4, 0, 0]",,"[0, 2, 3, 0, 0]"
