(2022-10-13 02:26:36,534) ERROR: scraped_info, 01920: Timeout when loading URL for course responsibles
(2022-10-13 02:26:36,537) ERROR: scraped_info, 02101: Timeout when loading URL
(2022-10-13 02:26:36,537) ERROR: scraped_info, 02101: Error when splitting page_source
(2022-10-13 02:26:36,539) ERROR: scraped_info, 02101: Timeout when loading URL for course responsibles
(2022-10-13 02:26:36,541) ERROR: scraped_info, 02102: Timeout when loading URL
(2022-10-13 02:26:36,542) ERROR: scraped_info, 02102: Error when splitting page_source
(2022-10-13 02:26:36,543) ERROR: scraped_info, 02102: Timeout when loading URL for course responsibles
(2022-10-13 02:26:36,545) ERROR: scraped_info, 02105: Timeout when loading URL
(2022-10-13 02:26:36,546) ERROR: scraped_info, 02105: Error when splitting page_source
(2022-10-13 02:26:36,548) ERROR: scraped_info, 02105: Timeout when loading URL for course responsibles
(2022-10-13 02:26:36,550) ERROR: scraped_info, 02110: Timeout when loading URL
(2022-10-13 02:26:36,551) ERROR: scraped_info, 02110: Error when splitting page_source
(2022-10-13 02:26:36,552) ERROR: scraped_info, 02110: Timeout when loading URL for course responsibles
(2022-10-13 02:26:36,555) ERROR: scraped_info, 02121: Timeout when loading URL
(2022-10-13 02:26:36,555) ERROR: scraped_info, 02121: Error when splitting page_source
(2022-10-13 02:26:36,557) ERROR: scraped_info, 02121: Timeout when loading URL for course responsibles
(2022-10-13 02:26:36,559) ERROR: scraped_info, 02122: Timeout when loading URL
(2022-10-13 02:26:36,559) ERROR: scraped_info, 02122: Error when splitting page_source
(2022-10-13 02:26:36,561) ERROR: scraped_info, 02122: Timeout when loading URL for course responsibles
(2022-10-13 02:26:36,563) ERROR: scraped_info, 02128: Timeout when loading URL
(2022-10-13 02:26:36,564) ERROR: scraped_info, 02128: Error when splitting page_source
(2022-10-13 02:26:36,565) ERROR: scraped_info, 02128: Timeout when loading URL for course responsibles
(2022-10-13 02:26:36,568) ERROR: scraped_info, 02132: Timeout when loading URL
(2022-10-13 02:26:36,568) ERROR: scraped_info, 02132: Error when splitting page_source
