"filename", "language", "Python", "JSON", "CSV", "HTML", "JavaScript", "CSS", "Draw.io", "Ini", "XML", "comment", "blank", "total"
"c:\Users\BudoB\OneDrive\Dokumenter Tekst\Programmering\DTU_Courses\test_stuff\infoDictTest\Location.json", "JSON", 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1
"c:\Users\BudoB\OneDrive\Dokumenter Tekst\Programmering\DTU_Courses\test_stuff\infoDictTest\Mandatory Prerequisites.json", "JSON", 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1
"c:\Users\BudoB\OneDrive\Dokumenter Tekst\Programmering\DTU_Courses\test_stuff\infoDictTest\Not applicable together with.json", "JSON", 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1
"c:\Users\BudoB\OneDrive\Dokumenter Tekst\Programmering\DTU_Courses\test_stuff\infoDictTest\Participants restrictions.json", "JSON", 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1
"c:\Users\BudoB\OneDrive\Dokumenter Tekst\Programmering\DTU_Courses\test_stuff\infoDictTest\Point( ECTS ).json", "JSON", 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1
"c:\Users\BudoB\OneDrive\Dokumenter Tekst\Programmering\DTU_Courses\test_stuff\infoDictTest\Previous Course.json", "JSON", 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1
"c:\Users\BudoB\OneDrive\Dokumenter Tekst\Programmering\DTU_Courses\test_stuff\infoDictTest\Recommended prerequisites.json", "JSON", 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1
"c:\Users\BudoB\OneDrive\Dokumenter Tekst\Programmering\DTU_Courses\test_stuff\infoDictTest\Registration Sign up.json", "JSON", 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1
"c:\Users\BudoB\OneDrive\Dokumenter Tekst\Programmering\DTU_Courses\test_stuff\infoDictTest\Responsible.json", "JSON", 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1
"c:\Users\BudoB\OneDrive\Dokumenter Tekst\Programmering\DTU_Courses\test_stuff\infoDictTest\Schedule.json", "JSON", 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1
"c:\Users\BudoB\OneDrive\Dokumenter Tekst\Programmering\DTU_Courses\test_stuff\infoDictTest\Scope and form.json", "JSON", 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1
"c:\Users\BudoB\OneDrive\Dokumenter Tekst\Programmering\DTU_Courses\test_stuff\infoDictTest\Type of assessment.json", "JSON", 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1
"c:\Users\BudoB\OneDrive\Dokumenter Tekst\Programmering\DTU_Courses\test_stuff\infoDictTest\superDictTest.json", "JSON", 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1
"c:\Users\BudoB\OneDrive\Dokumenter Tekst\Programmering\DTU_Courses\test_stuff\remove_lowercase.py", "Python", 81, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5, 86
"c:\Users\BudoB\OneDrive\Dokumenter Tekst\Programmering\DTU_Courses\test_stuff\test.py", "Python", 30, 0, 0, 0, 0, 0, 0, 0, 0, 30, 19, 79
"c:\Users\BudoB\OneDrive\Dokumenter Tekst\Programmering\DTU_Courses\test_stuff\testnew.py", "Python", 35, 0, 0, 0, 0, 0, 0, 0, 0, 10, 9, 54
"c:\Users\BudoB\OneDrive\Dokumenter Tekst\Programmering\DTU_Courses\test_stuff\top_level.py", "Python", 9, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 13
"c:\Users\BudoB\OneDrive\Dokumenter Tekst\Programmering\DTU_Courses\utils.py", "Python", 165, 0, 0, 0, 0, 0, 0, 0, 0, 22, 46, 233
"c:\Users\BudoB\OneDrive\Dokumenter Tekst\Programmering\DTU_Courses\webscrape_files\business\collect_data\get_url\get_url.py", "Python", 9, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 13
"c:\Users\BudoB\OneDrive\Dokumenter Tekst\Programmering\DTU_Courses\webscrape_files\business\collect_data\get_url\get_url_for_grade.py", "Python", 11, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 13
"c:\Users\BudoB\OneDrive\Dokumenter Tekst\Programmering\DTU_Courses\webscrape_files\business\collect_data\get_url\get_url_for_info.py", "Python", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1
"c:\Users\BudoB\OneDrive\Dokumenter Tekst\Programmering\DTU_Courses\webscrape_files\business\collect_data\load_webpage\load_webpage.py", "Python", 32, 0, 0, 0, 0, 0, 0, 0, 0, 3, 8, 43
"c:\Users\BudoB\OneDrive\Dokumenter Tekst\Programmering\DTU_Courses\website\__init__.py", "Python", 14, 0, 0, 0, 0, 0, 0, 0, 0, 2, 9, 25
"c:\Users\BudoB\OneDrive\Dokumenter Tekst\Programmering\DTU_Courses\website\browse.py", "Python", 19, 0, 0, 0, 0, 0, 0, 0, 0, 5, 9, 33
"c:\Users\BudoB\OneDrive\Dokumenter Tekst\Programmering\DTU_Courses\website\context_dicts.py", "Python", 236, 0, 0, 0, 0, 0, 0, 0, 0, 9, 45, 290
"c:\Users\BudoB\OneDrive\Dokumenter Tekst\Programmering\DTU_Courses\website\course_database.py", "Python", 32, 0, 0, 0, 0, 0, 0, 0, 0, 11, 14, 57
"c:\Users\BudoB\OneDrive\Dokumenter Tekst\Programmering\DTU_Courses\website\global_constants\__init__.py", "Python", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1
"c:\Users\BudoB\OneDrive\Dokumenter Tekst\Programmering\DTU_Courses\website\global_constants\config.py", "Python", 6, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 8
"c:\Users\BudoB\OneDrive\Dokumenter Tekst\Programmering\DTU_Courses\website\global_constants\dtu_consts.py", "Python", 104, 0, 0, 0, 0, 0, 0, 0, 0, 3, 6, 113
"c:\Users\BudoB\OneDrive\Dokumenter Tekst\Programmering\DTU_Courses\website\global_constants\eval_consts.py", "Python", 38, 0, 0, 0, 0, 0, 0, 0, 0, 1, 2, 41
"c:\Users\BudoB\OneDrive\Dokumenter Tekst\Programmering\DTU_Courses\website\global_constants\file_name_consts.py", "Python", 21, 0, 0, 0, 0, 0, 0, 0, 0, 3, 5, 29
"c:\Users\BudoB\OneDrive\Dokumenter Tekst\Programmering\DTU_Courses\website\global_constants\grade_consts.py", "Python", 22, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 24
"c:\Users\BudoB\OneDrive\Dokumenter Tekst\Programmering\DTU_Courses\website\global_constants\info_consts.py", "Python", 690, 0, 0, 0, 0, 0, 0, 0, 0, 155, 55, 900
"c:\Users\BudoB\OneDrive\Dokumenter Tekst\Programmering\DTU_Courses\website\global_constants\website_consts.py", "Python", 68, 0, 0, 0, 0, 0, 0, 0, 0, 8, 9, 85
"c:\Users\BudoB\OneDrive\Dokumenter Tekst\Programmering\DTU_Courses\website\misc.py", "Python", 14, 0, 0, 0, 0, 0, 0, 0, 0, 2, 5, 21
